year,avg_temp
1743,3.43
1744,9.31
1745,-1.27
1746,
1747,
1748,
1749,
1750,8.27
1751,8.23
1752,2.58
1753,7.17
1754,7.08
1755,6.91
1756,7.88
1757,7.69
1758,6.26
1759,7.33
1760,6.90
1761,7.80
1762,7.21
1763,6.74
1764,7.59
1765,7.32
1766,7.44
1767,6.76
1768,6.22
1769,7.01
1770,7.12
1771,6.12
1772,7.66
1773,8.13
1774,7.25
1775,8.60
1776,7.06
1777,6.84
1778,8.00
1779,8.67
1780,7.00
1781,8.08
1782,6.77
1783,7.99
1784,6.88
1785,5.64
1786,6.16
1787,7.69
1788,6.74
1789,8.16
1790,7.67
1791,8.34
1792,7.27
1793,7.59
1794,8.19
1795,7.18
1796,7.41
1797,9.08
1798,7.98
1799,5.17
1800,7.06
1801,8.50
1802,8.14
1803,6.32
1804,6.74
1805,5.80
1806,8.30
1807,8.18
1808,6.68
1809,6.95
1810,6.91
1811,8.38
1812,5.89
1813,7.05
1814,6.17
1815,6.34
1816,6.57
1817,7.42
1818,7.40
1819,7.69
1820,6.52
1821,7.28
1822,8.41
1823,7.04
1824,8.13
1825,7.59
1826,7.80
1827,7.95
1828,6.99
1829,4.94
1830,6.89
1831,7.21
1832,6.07
1833,7.47
1834,8.64
1835,7.00
1836,7.53
1837,6.55
1838,5.46
1839,6.92
1840,5.90
1841,7.85
1842,6.58
1843,7.86
1844,6.11
1845,6.46
1846,8.08
1847,6.56
1848,7.66
1849,6.36
1850,6.90
1851,7.42
1852,7.59
1853,6.50
1854,7.15
1855,5.74
1856,6.86
1857,7.41
1858,6.28
1859,8.19
1860,6.93
1861,7.33
1862,6.49
1863,8.64
1864,5.70
1865,6.91
1866,7.98
1867,6.43
1868,8.35
1869,7.72
1870,5.58
1871,5.21
1872,8.63
1873,7.92
1874,7.31
1875,5.74
1876,6.66
1877,6.92
1878,7.83
1879,6.22
1880,7.30
1881,6.10
1882,8.08
1883,6.83
1884,7.53
1885,7.14
1886,7.01
1887,6.67
1888,5.87
1889,6.75
1890,7.37
1891,7.08
1892,6.92
1893,6.43
1894,7.40
1895,6.97
1896,7.39
1897,7.42
1898,7.90
1899,7.43
1900,7.64
1901,7.43
1902,5.88
1903,7.90
1904,6.92
1905,7.39
1906,7.75
1907,6.55
1908,6.66
1909,6.72
1910,8.18
1911,7.96
1912,6.67
1913,7.80
1914,7.85
1915,7.11
1916,7.86
1917,6.83
1918,7.91
1919,6.53
1920,7.95
1921,8.04
1922,6.35
1923,7.25
1924,6.56
1925,7.94
1926,7.90
1927,7.14
1928,7.20
1929,6.06
1930,8.12
1931,6.89
1932,7.84
1933,6.22
1934,9.04
1935,7.52
1936,8.23
1937,8.26
1938,8.26
1939,8.46
1940,5.45
1941,5.71
1942,6.20
1943,8.00
1944,7.93
1945,7.62
1946,7.61
1947,7.04
1948,8.21
1949,8.54
1950,8.02
1951,8.38
1952,7.10
1953,7.93
1954,7.03
1955,7.45
1956,5.97
1957,8.30
1958,7.45
1959,8.17
1960,7.88
1961,8.52
1962,6.90
1963,6.56
1964,7.11
1965,6.01
1966,8.19
1967,8.59
1968,7.85
1969,6.40
1970,6.73
1971,7.86
1972,7.75
1973,7.85
1974,8.55
1975,8.98
1976,7.02
1977,8.19
1978,6.88
1979,6.96
1980,6.53
1981,7.77
1982,8.28
1983,8.90
1984,7.92
1985,6.65
1986,7.30
1987,6.32
1988,8.05
1989,9.43
1990,9.20
1991,7.90
1992,8.65
1993,7.67
1994,8.78
1995,8.16
1996,6.71
1997,7.81
1998,8.17
1999,8.96
2000,9.56
2001,8.26
2002,9.14
2003,8.22
2004,8.33
2005,8.43
2006,8.64
2007,9.32
2008,9.51
2009,8.50
2010,7.67
2011,8.84
2012,8.48
2013,9.32
